experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,4,,256,3,15.233655,4.223260535478278,4.223260535478325,4.618527782440651e-14,0x5ffdaed172ce7556,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,4,,1024,1,15.37421,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,4,,1024,2,15.335187,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,4,,1024,3,15.52093,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,4,,1024,1,15.126425,4.223260535478254,4.223260535478325,7.016609515630989e-14,0xe6eca58bd13e2946,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,4,,1024,2,15.115682,4.223260535478254,4.223260535478325,7.016609515630989e-14,0xe6eca58bd13e2946,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,4,,1024,3,15.18516,4.223260535478254,4.223260535478325,7.016609515630989e-14,0xe6eca58bd13e2946,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,4,,4096,1,14.97728,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,4,,4096,2,14.946449,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,4,,4096,3,15.549068,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,4,,4096,1,14.906377,4.223260535478294,4.223260535478325,3.019806626980426e-14,0x491f6a142f43de08,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,4,,4096,2,15.005038,4.223260535478294,4.223260535478325,3.019806626980426e-14,0x491f6a142f43de08,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,4,,4096,3,14.815742,4.223260535478294,4.223260535478325,3.019806626980426e-14,0x491f6a142f43de08,0
