experiment,executable,ranks,threads,n,nz,mode,phase,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_error,returncode
phases,mpi_omp,2,4,500000,20000000,regular,global_normalize,2,1.064489,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,computation,3,35.719861,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_spmv,3,31.422749,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_epoch,3,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_comm,3,10.011639,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_rotate,3,2.016165,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_normalize,3,1.126335,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,computation,1,18.040562,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_spmv,1,14.878726,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_epoch,1,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_comm,1,0.953145,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_rotate,1,1.805476,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_normalize,1,0.417534,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,computation,2,18.144849,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_spmv,2,15.008946,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_epoch,2,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_comm,2,1.091919,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_rotate,2,1.803313,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_normalize,2,0.411777,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,computation,3,21.268226,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_spmv,3,18.135489,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_epoch,3,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_comm,3,4.584331,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_rotate,3,1.808837,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,2,500000,20000000,regular,global_normalize,3,0.415883,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,computation,1,19.717631,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_spmv,1,14.62374,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_epoch,1,4e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_comm,1,1.970534,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_rotate,1,2.098752,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_normalize,1,1.157245,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,computation,2,25.319895,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_spmv,2,17.472766,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_epoch,2,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_comm,2,8.18558,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_rotate,2,2.203158,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_normalize,2,1.126015,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,computation,3,19.721165,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_spmv,3,14.519402,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_epoch,3,3e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_comm,3,2.055354,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_rotate,3,2.073926,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,4,4,500000,20000000,regular,global_normalize,3,1.236696,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
